,K-means Cluster,DBSCAN Cluster,Hierarchical Cluster
TCGA-AA-3855,3,-1,3
TCGA-D5-6924,2,-1,2
TCGA-AG-3878,0,-1,0
TCGA-AG-A032,2,-1,2
TCGA-AA-A01P,0,-1,1
TCGA-CM-5344,3,-1,3
TCGA-EI-6884,3,-1,3
TCGA-AA-3527,0,-1,0
TCGA-AA-3982,1,-1,0
TCGA-EI-6885,1,-1,0
TCGA-D5-5537,0,-1,1
TCGA-AA-3966,3,-1,3
TCGA-AZ-6598,2,-1,2
TCGA-AD-6548,1,-1,2
TCGA-AD-6965,3,-1,3
TCGA-AY-6197,2,-1,2
TCGA-EI-6513,1,-1,3
TCGA-AZ-5407,2,-1,2
TCGA-A6-3807,0,-1,1
TCGA-AZ-6607,1,-1,0
TCGA-AA-3833,0,-1,1
TCGA-G4-6323,0,-1,1
TCGA-AA-3496,3,-1,3
TCGA-CI-6623,2,-1,2
TCGA-AA-3519,3,-1,3
TCGA-G4-6306,1,-1,1
TCGA-AA-3684,1,-1,0
TCGA-AA-3712,2,-1,2
TCGA-AA-3814,2,-1,2
TCGA-AA-3492,0,-1,1
TCGA-AG-A02X,0,-1,1
TCGA-AA-3561,3,-1,1
TCGA-CM-4751,1,-1,1
TCGA-A6-2678,0,-1,1
TCGA-DM-A1D0,3,-1,3
TCGA-A6-A566,0,-1,1
TCGA-F4-6461,0,-1,1
TCGA-AA-3947,0,-1,1
TCGA-AF-2692,3,-1,3
TCGA-CL-4957,1,-1,1
TCGA-G4-6320,3,-1,3
TCGA-AA-3971,1,-1,0
TCGA-AA-3949,0,-1,1
TCGA-AY-A69D,0,-1,1
TCGA-AA-A01Z,3,-1,3
TCGA-G4-6321,0,-1,1
TCGA-NH-A6GC,0,-1,1
TCGA-A6-5666,2,-1,2
TCGA-AG-3584,1,-1,3
TCGA-AA-3489,0,-1,1
TCGA-DM-A28E,3,-1,3
TCGA-A6-6653,0,-1,1
TCGA-AA-A01V,0,-1,1
TCGA-CK-6748,2,-1,2
TCGA-AA-3696,2,-1,2
TCGA-DC-4745,1,-1,0
TCGA-CM-4743,0,-1,1
TCGA-AA-3534,2,-1,2
TCGA-D5-5539,0,-1,1
TCGA-CA-5254,2,-1,2
TCGA-AG-4021,1,-1,3
TCGA-D5-6923,3,-1,3
TCGA-AG-3578,3,-1,3
TCGA-AA-3544,1,-1,0
TCGA-D5-6928,0,-1,1
TCGA-AG-3594,0,-1,1
TCGA-CM-5860,1,-1,3
TCGA-AA-A02H,1,-1,2
TCGA-A6-2671,1,-1,0
TCGA-AG-3999,1,-1,3
TCGA-AA-3941,2,-1,2
TCGA-F5-6861,0,-1,1
TCGA-CA-5255,2,-1,2
TCGA-AG-4015,1,-1,3
TCGA-F4-6854,3,-1,3
TCGA-D5-6530,0,-1,1
TCGA-CI-6621,1,-1,0
TCGA-G4-6322,0,-1,1
TCGA-AG-3592,1,-1,0
TCGA-AA-3975,1,-1,3
TCGA-DY-A0XA,1,-1,0
TCGA-AD-6895,0,-1,1
TCGA-CM-5349,3,-1,3
TCGA-A6-2684,0,-1,1
TCGA-AA-3858,1,-1,0
TCGA-NH-A50T,2,-1,2
TCGA-D5-6536,0,-1,1
TCGA-CK-4947,0,-1,1
TCGA-AA-3678,3,-1,3
TCGA-AA-A02Y,0,-1,1
TCGA-AY-A71X,0,-1,1
TCGA-AA-3979,1,-1,0
TCGA-D5-6538,2,-1,2
TCGA-AA-3866,1,-1,0
TCGA-AA-3530,0,-1,1
TCGA-AG-A01N,3,-1,3
TCGA-F4-6809,3,-1,3
TCGA-DY-A1DG,0,-1,3
TCGA-F5-6811,2,-1,2
TCGA-A6-6650,3,-1,3
TCGA-DC-6155,1,-1,0
TCGA-CM-6676,3,-1,3
TCGA-CA-6716,0,-1,1
TCGA-A6-2686,2,-1,1
TCGA-AA-A02J,1,-1,0
TCGA-CM-6172,0,-1,1
TCGA-A6-2683,1,-1,0
TCGA-AA-3831,0,-1,1
TCGA-AA-A00Z,2,-1,0
TCGA-AA-3664,1,-1,3
TCGA-AU-6004,2,-1,2
TCGA-NH-A8F8,3,-1,3
TCGA-AA-3856,1,-1,0
TCGA-A6-6782,1,-1,0
TCGA-AA-3531,3,-1,3
TCGA-AA-3502,2,-1,2
TCGA-CK-5916,0,-1,1
TCGA-AA-3675,0,-1,1
TCGA-DM-A1D6,3,-1,3
TCGA-EI-6512,3,-1,3
TCGA-CM-6678,0,-1,1
TCGA-A6-6137,1,-1,0
TCGA-D5-6929,1,-1,0
TCGA-DM-A1DA,2,-1,2
TCGA-AG-3881,1,-1,0
TCGA-G4-6315,3,-1,3
TCGA-AA-3673,2,-1,2
TCGA-AA-3956,1,-1,0
TCGA-CK-5912,1,-1,0
TCGA-AA-3560,3,-1,1
TCGA-AZ-5403,1,-1,0
TCGA-CK-6746,2,-1,2
TCGA-D5-6920,0,-1,1
TCGA-CK-5913,2,-1,2
TCGA-DM-A288,0,-1,1
TCGA-AA-3506,0,-1,1
TCGA-AA-A024,0,-1,1
TCGA-F4-6463,1,-1,3
TCGA-AG-3583,3,-1,3
TCGA-AA-3994,0,-1,1
TCGA-G4-6309,0,-1,1
TCGA-CK-4951,0,-1,1
TCGA-AF-3400,1,-1,0
TCGA-AA-3518,0,-1,1
TCGA-G4-6626,1,-1,0
TCGA-F4-6808,3,-1,3
TCGA-EI-7004,0,-1,1
TCGA-G4-6586,0,-1,1
TCGA-A6-4105,3,-1,3
TCGA-CI-6624,1,-1,3
TCGA-AD-5900,2,-1,2
TCGA-EI-6507,0,-1,1
TCGA-AG-A020,3,-1,3
TCGA-AA-3663,2,-1,2
TCGA-AY-4070,1,-1,0
TCGA-AA-3864,0,-1,1
TCGA-A6-6142,1,-1,0
TCGA-AG-A01W,3,-1,3
TCGA-CA-5797,1,-1,0
TCGA-AA-A00D,3,-1,3
TCGA-CA-6715,1,-1,0
TCGA-DC-6156,1,-1,0
TCGA-AZ-6599,0,-1,1
TCGA-AF-A56K,3,-1,3
TCGA-A6-2676,0,-1,1
TCGA-D5-6532,0,-1,3
TCGA-AA-3715,2,-1,2
TCGA-AA-3710,0,-1,1
TCGA-AG-3890,1,-1,0
TCGA-EI-6510,0,-1,1
TCGA-AG-3728,1,-1,0
TCGA-CM-6164,2,-1,2
TCGA-AA-3542,3,-1,0
TCGA-D5-6930,0,-1,1
TCGA-QG-A5YX,2,-1,2
TCGA-A6-5659,1,-1,1
