,t-SNE1,t-SNE2,K-means Cluster,DBSCAN Cluster,Hierarchical Cluster
TCGA-AA-3855,0.4554893,9.824179,3,-1,3
TCGA-D5-6924,34.45333,7.507637,2,-1,2
TCGA-AG-3878,-10.877403,-17.966713,0,-1,0
TCGA-AG-A032,38.80687,2.6644297,2,-1,2
TCGA-AA-A01P,16.954668,2.1708484,0,-1,1
TCGA-CM-5344,-4.192333,14.425461,3,-1,3
TCGA-EI-6884,-17.191154,9.968519,3,-1,3
TCGA-AA-3527,-11.788504,-19.409021,0,-1,0
TCGA-AA-3982,-29.78375,-2.3227398,1,-1,0
TCGA-EI-6885,-27.233324,-10.747697,1,-1,0
TCGA-D5-5537,2.0373688,-17.273483,0,-1,1
TCGA-AA-3966,11.316171,5.5850587,3,-1,3
TCGA-AZ-6598,34.313305,-0.33081982,2,-1,2
TCGA-AD-6548,-1.1573842,-11.132505,1,-1,2
TCGA-AD-6965,-15.681226,7.7779145,3,-1,3
TCGA-AY-6197,30.530016,0.9744678,2,-1,2
TCGA-EI-6513,-14.948149,5.0511184,1,-1,3
TCGA-AZ-5407,30.869081,5.8710623,2,-1,2
TCGA-A6-3807,-4.054038,-7.2232018,0,-1,1
TCGA-AZ-6607,-23.026108,-13.313641,1,-1,0
TCGA-AA-3833,12.148229,-2.9482253,0,-1,1
TCGA-G4-6323,5.3904767,-14.158792,0,-1,1
TCGA-AA-3496,-2.8012145,16.024363,3,-1,3
TCGA-CI-6623,39.959038,3.8702695,2,-1,2
TCGA-AA-3519,1.1731315,9.466048,3,-1,3
TCGA-G4-6306,-14.191685,2.185171,1,-1,1
TCGA-AA-3684,-17.599436,-13.249771,1,-1,0
TCGA-AA-3712,37.29534,2.3473861,2,-1,2
TCGA-AA-3814,32.487606,6.4661293,2,-1,2
TCGA-AA-3492,15.964784,-3.2639167,0,-1,1
TCGA-AG-A02X,-7.023915,-13.956366,0,-1,1
TCGA-AA-3561,1.2449605,6.9778805,3,-1,1
TCGA-CM-4751,-12.539242,3.3495898,1,-1,1
TCGA-A6-2678,-4.999825,5.19416,0,-1,1
TCGA-DM-A1D0,-18.66043,11.24954,3,-1,3
TCGA-A6-A566,15.630096,8.185544,0,-1,1
TCGA-F4-6461,7.5344043,1.8812455,0,-1,1
TCGA-AA-3947,19.439283,-3.3938246,0,-1,1
TCGA-AF-2692,-12.055619,10.072077,3,-1,3
TCGA-CL-4957,-8.6595545,-8.94614,1,-1,1
TCGA-G4-6320,-19.07915,15.395954,3,-1,3
TCGA-AA-3971,-20.455921,-5.2410064,1,-1,0
TCGA-AA-3949,18.553883,-2.5603027,0,-1,1
TCGA-AY-A69D,-6.8098807,-13.838608,0,-1,1
TCGA-AA-A01Z,-9.681682,11.28653,3,-1,3
TCGA-G4-6321,9.324756,-4.828034,0,-1,1
TCGA-NH-A6GC,1.4633844,-17.874348,0,-1,1
TCGA-A6-5666,31.696808,8.302287,2,-1,2
TCGA-AG-3584,-17.033644,3.300869,1,-1,3
TCGA-AA-3489,-1.4366409,-13.856508,0,-1,1
TCGA-DM-A28E,2.9376688,11.37924,3,-1,3
TCGA-A6-6653,12.404949,-1.8232728,0,-1,1
TCGA-AA-A01V,7.964695,-0.84548503,0,-1,1
TCGA-CK-6748,29.716822,9.732043,2,-1,2
TCGA-AA-3696,36.826912,-1.5033553,2,-1,2
TCGA-DC-4745,-15.409624,-4.7922006,1,-1,0
TCGA-CM-4743,16.043222,-5.3453984,0,-1,1
TCGA-AA-3534,37.315014,-1.0524001,2,-1,2
TCGA-D5-5539,0.43007112,-8.596678,0,-1,1
TCGA-CA-5254,38.21696,6.8743477,2,-1,2
TCGA-AG-4021,-14.016852,3.92525,1,-1,3
TCGA-D5-6923,-7.5139246,13.240751,3,-1,3
TCGA-AG-3578,-10.02236,7.778355,3,-1,3
TCGA-AA-3544,-21.679005,-4.0594873,1,-1,0
TCGA-D5-6928,17.732084,5.3805184,0,-1,1
